sentiment,top_themes,pain_points,delighters,suggested_actions,summary,app,sample_id
negative,"[{'theme': 'little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate your app very high', 'polarity': 'mixed', 'evidence': []}]","['little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate your app very high', 'lift the suspension on my page so i can continue to entertain my audience thank you']",['music is not available on profile when scrolling reels sometimes the volume is not working we have to rescroll or replay the videos please fix it very we'],[],... a little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate,Facebook,0
positive,"[{'theme': 'x is one of the fastest platforms for realtime conversations as a writer', 'polarity': 'mixed', 'evidence': []}]",['x is one of the fastest platforms for realtime conversations as a writer'],['x is one of the fastest platforms for realtime conversations as a writer'],[],x is a powerful platform for writing and sharing ideas and opinions,Twitter,1
positive,"[{'theme': 'i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook', 'polarity': 'mixed', 'evidence': []}]",['i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook for nothing and i have done nothing wrong done very heavily woke and censored'],['i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook for nothing and i have done nothing wrong done very heavily woke and censored'],[],i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook,Facebook,2
positive,"[{'theme': 'good but slow', 'polarity': 'mixed', 'evidence': []}]",['slow'],['good for sending messages photos and links the best private chatting platform add more interesting features'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}]",good but slow,WhatsApp,3
positive,"[{'theme': 'nerfed', 'polarity': 'mixed', 'evidence': []}]",['i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip'],['nice performance'],[],i love this app,Spotify,4
positive,"[{'theme': 'candy crush addict', 'polarity': 'mixed', 'evidence': []}]",['This app should start paying the users'],['candy crush saga'],[],Candy crush is a sweet and interesting game that should be paid for,Candy Crush Saga,5
positive,"[{'theme': 'i want to do', 'polarity': 'mixed', 'evidence': []}]",['i want to do a presentation'],['good for us easy to use useful tool on the go'],[],a good presentationmaking app,Microsoft PowerPoint,6
positive,"[{'theme': 'app is very reliable these days main complaint is the bearly visible edit button in the plain text file editor in dark mode which gets consumed by the surrounding text just make the edit button blue simples also', 'polarity': 'mixed', 'evidence': []}]",['i have to pay to access files someone else has shared to me via their space'],['app is very reliable these days main complaint is the bearly visible edit button in the plain text file editor in dark mode which gets consumed by the surrounding text just make the edit button blue simples also 1 as dropbox subscription way too expensive i just paid one dollar first ahuh so expensive'],[],a reliable and reliable app,Dropbox,7
positive,"[{'theme': 'i love this game', 'polarity': 'mixed', 'evidence': []}]",['i have stress seizures keeps my mind busy 10 out of 10 must try fun cant stop playing sooooo incredible and fantastic i jst love it love this gameand i am enjoyed the mi'],['i love this game'],[],Candy crush saga is a fun and addicting game that's sure to keep you busy.,Candy Crush Saga,8
positive,"[{'theme': 'i think is a very good app', 'polarity': 'mixed', 'evidence': []}]","[""I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app.""]",['i like the way the ad works'],[],When I first started working with the Almighty God I was able to get a lot of help from my friends because I was able to get a lot of help from them.,Facebook Messenger,9
