sentiment,top_themes,pain_points,delighters,suggested_actions,summary,app,sample_id
negative,"[{'theme': 'hate this app with a burning passion', 'polarity': 'mixed', 'evidence': []}]",['I hate this app with a burning passion im 18 and i have had to make three different accounts all of which have gotten banned the first one made me lose my Instagram and oculus account i do'],['the best sandwiches around love the salvation dipped in italian dressing and the reubeni ma addicted and what makes it the best is the homemade bread they make fresh everyday for the sandwiches must try and try and try again fans this app is very generosity fantastics that would change your life which you'],[],i hate this app with a burning passion,Facebook,0
negative,"[{'theme': 'app is cool', 'polarity': 'mixed', 'evidence': []}]","[""i can't login""]",['the app is cool u can watch video an do mor'],"[{'owner': 'Engineering', 'action': 'Fix login/auth issues', 'priority': 'P0'}]",The app is cool but the app isn't as good as it should be,Twitter,1
positive,"[{'theme': 'new', 'polarity': 'mixed', 'evidence': []}]","[""I don't know where to start I feel like I about to break down right now Facebook just disabled my account without any warning at all no explanation no chance to prepare nothing one moment everything was fine then suddenly boomlocked out like i did something so wrong and now theyre saying i only""]",['the reels'],[],... a good app for a newbie,Facebook,2
positive,"[{'theme': 'app needs to be made more optimised as its too heavy for some low end even mid range devices', 'polarity': 'mixed', 'evidence': []}]",['the app is nice but i have little issues trying to get a second account with a different number very nice messaging and other things whatsapp useful app almost indispensable but app needs to be made more optimised as its too heavy for some low end even mid range devices some features suddenly stops'],['very nice messaging and other things whatsapp useful app almost indispensable but app needs to be made more optimised as its too heavy for some low end even mid range devices'],[],Whatsapp is a good app but it needs to be made more optimised,WhatsApp,3
negative,"[{'theme': 'dj x needs an upgrade', 'polarity': 'mixed', 'evidence': []}]",['when im listening to ads and suddenly songs interrupts and spoils my mood its wow though dj x needs an upgrade been a spotify user for over 6 years at this point on a family plan that cant seem to function properly or offer meaningful features for the price finally'],['dj x needs an upgrade'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",Apple Music is a great app but it's not the best of the best,Spotify,4
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]","[""I'm not sure what's wrong with this app. I'm not sure what's wrong with this app. I'm not sure what's wrong with this app. I'm not sure what's wrong with this app. I'm not sure what's""]",['good'],[],Candy crush is a fun game that's sure to keep you entertained.,Candy Crush Saga,5
positive,"[{'theme': 'good app for opening documents best app for any presentation', 'polarity': 'mixed', 'evidence': []}]",['not very good'],['good app for opening documents best app for any presentation its rather efficient and easy to use im able to quickly make presentation directly from my phone which i didnt expect whatsoever its very useful for preparing a ppt it is a very food appit makes you feel like you are'],[],i don't like it at all very good app for opening documents best app for any presentation its rather efficient and easy to use im able to quickly make presentation directly from my phone which,Microsoft PowerPoint,6
negative,"[{'theme': 'hacked', 'polarity': 'mixed', 'evidence': []}]",['999 charge'],['999 charge'],[],GB storage is a little pricey but it's worth it,Dropbox,7
positive,"[{'theme': 'Candy crush saga please bring back the old music used in 2016', 'polarity': 'mixed', 'evidence': []}]",['Candy crush saga please bring back the old music used in 2016 or have the options to set the background music according to what we like please'],['Candy crush saga please bring back the old music used in 2016 or have the options to set the background music according to what we like please'],[],Candy crush saga is a fun and challenging game that takes away stress and takes away stress.,Candy Crush Saga,8
positive,"[{'theme': 'it works well no complaints with the messenger service i like this i was able to get my information out i was able to get my information out i was able to get', 'polarity': 'mixed', 'evidence': []}]",['no complaints with the messenger service'],['it was magic it helped us to connect'],[],It's a good app for a millennial.,Facebook Messenger,9
negative,"[{'theme': 'account was falsely restricted for a tweet sent an appeal and my account was unlocked account was immediately not even a minute later restricted again for the same tweet figured it should be fine to', 'polarity': 'mixed', 'evidence': []}]","[""i can't log in my only acc since yesterday ive been unable to enjoy this app i always get this annoying message cannot retrieve posts at the time please retry later even at that i decided to uninstall and reinstall the app yet""]",['UI is good'],[],i can't log in my only acc since yesterday i can't login my only acc since yesterday i can't login my only acc since yesterday i can,Twitter,10
negative,"[{'theme': 'i wish u could go live on your status', 'polarity': 'mixed', 'evidence': []}]","[""i can't use it""]",['i wish u could go live on your status'],[],Whatsapp is the best app on every store,WhatsApp,11
positive,"[{'theme': 'great', 'polarity': 'mixed', 'evidence': []}]","[""Flipboard is great but it's not working""]",['Flipboard'],[],Flipboard is a great app but it's not working.,Flipboard,12
negative,"[{'theme': 'i cant log in no otp is being sent and support is completely uselessjust generic responses with no real help i suspect my account was compromised but they dont seem to care', 'polarity': 'mixed', 'evidence': []}]",['i cant log in no otp is being sent and support is completely uselessjust generic responses with no real help i suspect my account was compromised but they dont seem to care if they cant handle basic security or account recovery this app isnt worth using stay away'],['i like this app'],[],i like this app but when i lost my phone i cant get it back and i must have the previous phone so that i can transfer chart history no other alternative no option,LINE,13
